Data,Open,Close,Adj Close,Company,Industry,Stock ticker
2015-01-02,129.639999,129.949997,113.439125,Linde plc,Basic Materials,LIN
2015-01-05,128.820007,126.519997,110.444939,Linde plc,Basic Materials,LIN
2015-01-06,126.199997,124.900002,109.030746,Linde plc,Basic Materials,LIN
2015-01-07,125.870003,126.300003,110.252884,Linde plc,Basic Materials,LIN
2015-01-08,127.889999,128.380005,112.068611,Linde plc,Basic Materials,LIN
2015-01-09,128.850006,126.650002,110.558418,Linde plc,Basic Materials,LIN
2015-01-12,126.769997,126.370003,110.313995,Linde plc,Basic Materials,LIN
2015-01-13,126.900002,125.500000,109.554543,Linde plc,Basic Materials,LIN
2015-01-14,123.279999,124.589996,108.760139,Linde plc,Basic Materials,LIN
2015-01-15,125.000000,124.470001,108.655380,Linde plc,Basic Materials,LIN
2015-01-16,124.470001,123.529999,107.834808,Linde plc,Basic Materials,LIN
2015-01-20,123.870003,124.910004,109.039497,Linde plc,Basic Materials,LIN
2015-01-21,124.570000,125.669998,109.702911,Linde plc,Basic Materials,LIN
2015-01-22,126.650002,127.459999,111.265503,Linde plc,Basic Materials,LIN
2015-01-23,127.430000,126.339996,110.287796,Linde plc,Basic Materials,LIN
2015-01-26,123.550003,124.519997,108.699036,Linde plc,Basic Materials,LIN
2015-01-27,122.900002,123.199997,107.546745,Linde plc,Basic Materials,LIN
2015-01-28,124.190002,122.629997,107.049171,Linde plc,Basic Materials,LIN
2015-01-29,123.029999,121.449997,106.019104,Linde plc,Basic Materials,LIN
2015-01-30,119.919998,120.589996,105.268387,Linde plc,Basic Materials,LIN
2015-02-02,121.080002,122.220001,106.691284,Linde plc,Basic Materials,LIN
2015-02-03,123.550003,123.480003,107.791176,Linde plc,Basic Materials,LIN
2015-02-04,122.620003,122.709999,107.119011,Linde plc,Basic Materials,LIN
2015-02-05,123.639999,124.610001,108.777611,Linde plc,Basic Materials,LIN
2015-02-06,124.150002,125.250000,109.336288,Linde plc,Basic Materials,LIN
2015-02-09,125.000000,125.040001,109.152985,Linde plc,Basic Materials,LIN
2015-02-10,125.239998,124.910004,109.039497,Linde plc,Basic Materials,LIN
2015-02-11,124.910004,124.349998,108.550636,Linde plc,Basic Materials,LIN
2015-02-12,125.000000,125.360001,109.432304,Linde plc,Basic Materials,LIN
2015-02-13,125.500000,126.889999,110.767921,Linde plc,Basic Materials,LIN
2015-02-17,126.669998,127.449997,111.256767,Linde plc,Basic Materials,LIN
2015-02-18,127.440002,127.629997,111.413887,Linde plc,Basic Materials,LIN
2015-02-19,127.620003,128.860001,112.487633,Linde plc,Basic Materials,LIN
2015-02-20,128.850006,129.309998,112.880440,Linde plc,Basic Materials,LIN
2015-02-23,128.960007,128.389999,112.077354,Linde plc,Basic Materials,LIN
2015-02-24,128.580002,128.380005,112.068611,Linde plc,Basic Materials,LIN
2015-02-25,128.330002,128.589996,112.251923,Linde plc,Basic Materials,LIN
